album_id,album_name,artist_id,release_date
5,Call You Mine - The Remixes,4,2019-07-19
16,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],12,2019-07-12
26,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),4,2019-05-24
39,Side Effects - Remixes,4,2018-07-25
72,World War Joy,4,2019-05-31
81,World War Joy...Takeaway,4,2019-07-24
110,No Sleep (feat. Bonn),12,2019-02-21
127,Home (feat. Bonn),12,2019-08-16
135,Closer (feat. Halsey),4,2016-07-29
139,Scared to Be Lonely,12,2017-01-27
146,Memories...Do Not Open,4,2017-04-07
152,Roses,4,2015-06-16
198,Used To Love (with Dean Lewis),12,2019-10-31
233,These Are The Times (feat. JRM),12,2019-07-18
292,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),12,2019-04-25
326,High On Life (feat. Bonn),12,2018-07-29
330,Burn Out (feat. Dewain Whitmore),12,2018-09-14
337,Glitch,12,2018-12-14
362,In the Name of Love,12,2016-07-29
488,Sick Boy,4,2018-04-20
492,Something Just Like This (Remix Pack),4,2017-04-28
498,Forever,12,2017-10-20
501,Don't Let Me Down (Remixes),4,2016-05-27
513,Lions in the Wild,12,2016-05-27
517,Now That I've Found You,12,2016-03-11
521,World War Joy,4,2019-12-06
523,World War Joy...Push My Luck,4,2019-11-08
538,World War Joy...Do You Mean,4,2019-04-26
545,World War Joy...Kills You Slowly,4,2019-03-29
549,Mistaken (feat. Alex Aris),12,2019-03-31
565,Paris,4,2017-01-13
584,Who Do You Love,4,2019-02-07
686,Merry Christmas II You,386,2010-01-01
736,Happy Nation (Remastered),422,1994-01-01
741,Greatest Hits,422,2008-11-14
767,Singles of the 90s,422,1999-01-03
781,'N Sync,456,1997-05-26
1170,Something Just Like This,4,2017-02-22
1187,Don't Let Me Down,4,2016-02-05
1642,"Rise And Fall, Rage And Grace",1006,2008-06-17
1704,Jazz (Deluxe Remastered Version),1054,1978-11-10
1709,Appetite For Destruction,1058,1987-01-01
1865,Views,1162,2016-05-06
2151,Sick Boy...This Feeling,4,2018-09-18
2164,Sick Boy,4,2018-12-14
2202,Thank Me Later (Int'l Version),1162,2010-01-01
2235,One Dance,1162,2016-04-05
2247,Hotline Bling,1162,2015-07-31
2269,Bouquet,4,2015-10-23
2270,Collage EP,4,2016-11-04
2293,All We Know,4,2016-09-29
2296,So Far Away (feat. Jamie Scott & Romy Dya),12,2017-12-01
2297,Ocean (feat. Khalid),12,2018-06-15
2325,There for You,12,2017-05-26
2327,Seven,12,2016-10-28
2359,Scorpion,1162,2018-06-29
2386,Views,1162,2016-05-13
2387,More Life,1162,2017-03-18
2406,The Sign (US Album) [Remastered],422,1993
2587,Forbidden Voices,12,2015-02-23
2718,Kiss Me Kiss Me Kiss Me,1554,1987-05-25
2729,M 80 presenta New Wave Classix,1554,2010-01-01
2841,The Works,1054,1984-02-27
2843,The Essential Bruce Springsteen,1629,2003-10-16
2850,Greatest Hits,1634,2010-01-01
2867,Stranger Things (Soundtrack from the Netflix Original Series),1649,2017-10-27
2885,Three Imaginary Boys,1554,1979-05-11
3668,Kanye,4,2014-08-05
3748,Push My Luck - The Remixes,4,2019-11-29
4733,Top Boy (A Selection of Music Inspired by the Series),1162,2019-09-13
4858,Thank Me Later,1162,2010-01-01
4864,All Eyez On Me,2851,1996-02-13
4887,The Best In The World Pack,1162,2019-06-15
