artist_id,artist_name,musician_type,label_id
4,The Chainsmokers,SoloArtist,3
12,Martin Garrix,SoloArtist,2
386,Mariah Carey,SoloArtist,1
422,Ace of Base,SoloArtist,
456,*NSYNC,SoloArtist,
1006,The Offspring,SoloArtist,
1054,Queen,SoloArtist,1
1058,Guns N' Roses,SoloArtist,2
1162,Drake,SoloArtist,1
1554,The Cure,SoloArtist,
1629,Bruce Springsteen,SoloArtist,5
1634,Tom Petty,SoloArtist,
1649,The Police,SoloArtist,8
2851,2Pac,SoloArtist,7
3214,Scarface,SoloArtist,
3215,Ice Cube,SoloArtist,
3221,Westside Connection,SoloArtist,
3269,Juvenile,SoloArtist,
3273,Fat Pat,SoloArtist,
3410,Tom Petty and the Heartbreakers,SoloArtist,
3432,Lenny Kravitz,SoloArtist,
3580,Bobby Brown,SoloArtist,
3582,MC Hammer,SoloArtist,
3593,The Notorious B.I.G.,SoloArtist,7
3610,Nas,SoloArtist,2
3617,Fugees,SoloArtist,
4485,Jory Boy,SoloArtist,
4551,Heart,SoloArtist,
4643,Black Sabbath,SoloArtist,
4646,Mr. Big,SoloArtist,4
4650,Fleetwood Mac,SoloArtist,3
4653,The Hollies,SoloArtist,
4670,The Who,SoloArtist,6
4672,The Marshall Tucker Band,SoloArtist,
4698,The Band,SoloArtist,
4718,Sly & The Family Stone,SoloArtist,
4789,Mötley Crüe,SoloArtist,
4820,Quiet Riot,SoloArtist,
4836,The Guess Who,SoloArtist,
4858,Foo Fighters,SoloArtist,4
4881,Rivermaya,SoloArtist,
5080,Simon & Garfunkel,SoloArtist,
6453,Gloria Estefan,SoloArtist,
7078,Proper Dos,SoloArtist,
7576,Ginuwine,SoloArtist,
7601,Joe,SoloArtist,
7646,Hi-Five,SoloArtist,
7649,B2K,SoloArtist,
8282,Portrait,SoloArtist,
8359,Club Nouveau,SoloArtist,
