concert_id,title,event_date,event_time,ticket_price,audience,venue_id,artist_id,tour_id
1,Queen at Wiener Stadthalle,2019-09-14,20:00,95.0,14500,1,1054,1
2,Queen at Stadthalle Graz,2019-09-21,20:00,85.0,7800,7,1054,1
3,Queen at Musikverein,2022-05-05,20:00,120.0,1900,2,1054,
4,Drake at Wiener Stadthalle,2013-10-08,21:00,75.0,12000,1,1162,2
5,Drake at Arena Linz,2013-10-11,21:00,65.0,2800,12,1162,2
6,Drake at Wiener Stadthalle,2017-02-18,21:00,80.0,13500,1,1162,3
7,Drake at Gasometer,2017-02-22,21:00,70.0,3900,6,1162,3
8,Martin Garrix at Wiener Stadthalle,2018-03-10,22:00,65.0,14000,1,12,4
9,Martin Garrix at Gasometer,2018-05-12,22:00,50.0,3800,6,12,4
10,Martin Garrix at Arena Wien,2018-07-28,22:00,45.0,4900,5,12,
11,The Chainsmokers at Wiener Stadthalle,2017-06-17,21:00,70.0,13000,1,4,5
12,The Chainsmokers at Stadthalle Graz,2017-07-04,21:00,60.0,7500,7,4,5
13,Guns N Roses at Wiener Stadthalle,2017-06-09,20:00,99.0,14800,1,1058,6
14,Guns N Roses at Stadthalle Graz,2017-06-12,20:00,90.0,7900,7,1058,6
15,Foo Fighters at Wiener Stadthalle,2018-06-02,20:00,75.0,14200,1,4858,7
16,Foo Fighters at Arena Wien,2018-06-05,20:00,55.0,4700,5,4858,7
17,Mariah Carey at Musikverein,2018-09-20,20:00,110.0,1950,2,386,8
18,Mariah Carey at Volksoper,2018-09-22,20:00,105.0,1300,4,386,8
19,Fleetwood Mac at Wiener Stadthalle,2018-11-17,20:00,88.0,14600,1,4650,9
20,Fleetwood Mac at Orpheum Graz,2018-11-20,20:00,75.0,680,8,4650,9
21,The Police at Wiener Stadthalle,2008-06-14,20:00,80.0,14900,1,1649,10
22,The Police at Mozarteum,2008-06-17,20:00,90.0,780,9,1649,10
23,Bruce Springsteen at Wiener Stadthalle,2023-07-19,20:00,92.0,14700,1,1629,
24,2Pac Tribute at Arena Wien,2022-09-03,21:00,40.0,4500,5,2851,
25,Mariah Carey at Porgy and Bess,2023-03-15,20:00,130.0,340,15,386,
26,Queen at Volksoper,2023-05-12,20:00,115.0,1300,4,1054,
27,Nas at WUK Vienna,2022-11-05,21:00,45.0,1100,14,3610,
28,The Notorious B.I.G. Tribute at Gasometer,2023-02-18,21:00,38.0,3700,6,3593,
29,Fleetwood Mac at Felsenreitschule,2019-08-03,20:00,95.0,1450,10,4650,
30,Guns N Roses at Arena Wien,2022-06-25,20:00,88.0,4900,5,1058,
