tour_id,name,start_date,end_date,artist_id
1,Queen: The Rhapsody Tour,2019-06-03,2020-03-15,1054
2,Drake: Would You Like a Tour?,2013-09-05,2013-11-23,1162
3,Drake: Boy Meets World Tour,2017-01-25,2017-04-01,1162
4,Martin Garrix: World Tour 2018,2018-01-20,2018-12-31,12
5,The Chainsmokers: Memories Tour,2017-04-07,2017-11-05,4
6,Guns N Roses: Not In This Lifetime,2016-04-01,2019-12-14,1058
7,Foo Fighters: Concrete and Gold,2017-09-09,2018-11-15,4858
8,Mariah Carey: Butterfly Returns,2018-09-13,2018-10-19,386
9,Fleetwood Mac: An Evening With,2018-10-03,2019-11-26,4650
10,The Police: Reunion Tour,2007-05-28,2008-08-07,1649
